127.0.0.1 - - [09/Oct/2022:09:35:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:35:51 +0900] "GET /test/use.jsp HTTP/1.1" 200 15020
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:35:51 +0900] "GET /test/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:35:51 +0900] "GET /test/cosmos_pro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:35:51 +0900] "GET /test/naver_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:35:51 +0900] "GET /test/boardStudy_company.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:35:51 +0900] "GET /test/banner/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:35:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:59:57 +0900] "GET /test/header_notice.jsp HTTP/1.1" 200 4511
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:59:57 +0900] "GET /static/media/SpoqaHanSansNeoBold.1db18034.woff2 HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:59:57 +0900] "GET /static/media/SpoqaHanSansNeoRegular.452bf157.woff2 HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:59:57 +0900] "GET /static/media/SpoqaHanSansNeoBold.dc755329.woff HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:59:57 +0900] "GET /static/media/SpoqaHanSansNeoRegular.4af655e2.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [09/Oct/2022:09:59:57 +0900] "GET /static/media/SpoqaHanSansNeoRegular.b935041c.ttf HTTP/1.1" 404 863
